Symbol,Company_Name,Yahoo_Symbol
BLBLIMITED,BLB Limited,BLBLIMITED.NS
BLISSGVS,Bliss GVS Pharma Limited,BLISSGVS.NS
BLKASHYAP,B. L. Kashyap and Sons Limited,BLKASHYAP.NS
BLS,BLS International Services Limited,BLS.NS
BLUECOAST,Blue Coast Hotels Limited,BLUECOAST.NS
BLUEDART,Blue Dart Express Limited,BLUEDART.NS
BLUESTARCO,Blue Star Limited,BLUESTARCO.NS
BODALCHEM,Bodal Chemicals Limited,BODALCHEM.NS
BOMDYEING,Bombay Dyeing & Mfg Company Limited,BOMDYEING.NS
BORORENEW,BOROSIL RENEWABLES LIMITED,BORORENEW.NS
BOSCHLTD,Bosch Limited,BOSCHLTD.NS
BPCL,Bharat Petroleum Corporation Limited,BPCL.NS
BPL,BPL Limited,BPL.NS
BRFL,Bombay Rayon Fashions Limited,BRFL.NS
BRIGADE,Brigade Enterprises Limited,BRIGADE.NS
BRITANNIA,Britannia Industries Limited,BRITANNIA.NS
BRNL,Bharat Road Network Limited,BRNL.NS
BROOKS,Brooks Laboratories Limited,BROOKS.NS
BSE,BSE Limited,BSE.NS
BSELINFRA,BSEL Infrastructure Realty Limited,BSELINFRA.NS
BSL,BSL Limited,BSL.NS
BSOFT,BIRLASOFT LIMITED,BSOFT.NS
BURNPUR,Burnpur Cement Limited,BURNPUR.NS
BUTTERFLY,Butterfly Gandhimathi Appliances Limited,BUTTERFLY.NS
BVCL,Barak Valley Cements Limited,BVCL.NS
BYKE,The Byke Hospitality Ltd,BYKE.NS
CADILAHC,Cadila Healthcare Limited,CADILAHC.NS
CALSOFT,California Software Company Limited,CALSOFT.NS
CAMLINFINE,Camlin Fine Sciences Limited,CAMLINFINE.NS
CANBK,Canara Bank,CANBK.NS
CANDC,C & C Constructions Limited,CANDC.NS
CANFINHOME,Can Fin Homes Limited,CANFINHOME.NS
CANTABIL,Cantabil Retail India Limited,CANTABIL.NS
CAPACITE,Capacit'e Infraprojects Limited,CAPACITE.NS
CAPLIPOINT,Caplin Point Laboratories Limited,CAPLIPOINT.NS
CAPTRUST,Capital Trust Limited,CAPTRUST.NS
CARBORUNIV,Carborundum Universal Limited,CARBORUNIV.NS
CAREERP,Career Point Limited,CAREERP.NS
CARERATING,CARE Ratings Limited,CARERATING.NS
CASTEXTECH,Castex Technologies Limited,CASTEXTECH.NS
